;;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;AP Rank;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
183;Bowling Green State;MAC;;;16;14;67.5;69.8;-2.30;;-0.70;;1.01;-4.00;-3.00;95.56;99.95;-4.39
184;Towson;CAA;;;20;11;66.8;65.4;1.42;;-4.58;;0.27;-3.44;-3.16;89.06;94.15;-5.09
185;George Washington;A-10;;;13;18;58.5;58.2;0.26;;-1.51;;-7.79;4.52;-3.27;84.91;89.76;-4.85
186;Abilene Christian;WAC;;;14;16;69.9;66.1;3.80;;-4.97;;0.53;-3.83;-3.30;93.42;98.44;-5.02
187;Buffalo;MAC;;;19;13;66.2;63.4;2.72;;-5.01;;-1.72;-1.78;-3.50;90.32;95.55;-5.23
188;Idaho;Big Sky;;;15;16;59.8;57.2;2.58;;-4.20;;-8.05;4.51;-3.55;85.59;90.74;-5.14
189;Fresno State;MWC;;;15;18;64.3;63.0;1.27;;-2.38;;-2.48;-1.16;-3.63;91.21;97.16;-5.95
190;Wichita State;AAC;;;10;22;64.0;69.9;-5.84;;2.19;;-0.78;-2.88;-3.66;87.06;92.19;-5.14
191;Eastern Kentucky;A-Sun;;;22;11;71.8;63.5;8.33;;-6.78;;0.21;-3.88;-3.68;88.31;93.24;-4.93
192;Long Beach State;Big West;;;15;18;67.9;69.5;-1.55;;-1.49;;3.41;-7.12;-3.71;87.19;92.59;-5.40
193;William & Mary;CAA;;;15;14;63.2;62.6;0.66;;-4.49;;-2.57;-1.26;-3.83;85.93;91.73;-5.80
194;UC Riverside;Big West;;;18;13;58.4;57.8;0.58;;-2.60;;-7.80;3.93;-3.87;83.21;88.97;-5.76
195;Loyola Marymount;WCC;;;11;19;60.4;65.3;-4.97;;2.89;;-3.80;-0.13;-3.93;89.84;96.39;-6.55
196;Southern Illinois;MVC;;;11;20;65.6;68.5;-2.84;;-1.11;;-1.93;-2.02;-3.95;86.19;91.71;-5.51
197;Austin Peay;A-Sun;;;17;16;62.3;60.2;2.09;;-5.58;;-7.32;3.21;-4.11;85.22;90.59;-5.37
198;Wright State;Horizon;;;18;15;70.2;70.8;-0.61;;-1.55;;2.72;-6.89;-4.16;92.31;98.30;-5.99
199;UT Arlington;WAC;;;17;16;69.9;71.6;-1.76;;-2.48;;2.30;-6.53;-4.24;91.26;96.52;-5.26
200;Wofford;Southern;;;17;13;66.6;61.1;5.50;;-6.10;;-0.45;-3.84;-4.29;90.77;96.77;-6.00
201;Georgia State;Sun Belt;;;15;15;69.8;68.5;1.27;;-2.90;;0.56;-4.92;-4.36;90.36;96.82;-6.46
202;Florida Atlantic;AAC;;;11;19;61.0;65.6;-4.60;;0.95;;-4.85;0.43;-4.43;88.50;95.17;-6.67
203;New Mexico State;CUSA;;;13;18;60.5;61.5;-1.03;;-2.25;;-6.67;2.19;-4.49;85.12;91.21;-6.08
